archontophoenix cunninghamiana,"Archontophoenix cunninghamiana (Bangalow palm, King palm, Illawara palm, piccabben, piccabeen) is an Australian palm. It can grow up to and over 20 metres tall. Its flower colour is violet and the red fruits are attractive to birds. It flowers in midsummer and has evergreen foliage.
It has become a noxious weed in many areas where it has been used as an ornamental plant. In Southern Brazil, it has become an invasive species, profiting from the local extinction of the endangered native palm Euterpe edulis. In New Zealand, there is concern that A. cunninghamiana could invade native forests, since it has the same ecological requirements as the native nikau palm. The Auckland Regional Council has included A. cunninghamiana on a list of plants requiring further research on their potential to adversely affect the environment.
In the United States, the palm is commonly cultivated in California from San Luis Obispo south to the Mexican border and in coastal South Florida.",http://en.wikipedia.org/wiki/Archontophoenix_cunninghamiana
ulmus procera louis van houtii,"Ulmus procera Salisb., the English, Common, or more lately Atinian, Elm was, before the advent of Dutch elm disease, the commonest field elm in southern England, though not native there, and one of the largest and fastest-growing deciduous trees in Europe. R. H. Richens had noted that there are elm-populations in north-west Spain, in northern Portugal and on the Mediterranean coast of France that ""closely resemble the English Elm"" and appear to be ""trees of long standing"" in those regions rather than recent introductions. Augustine Henry had earlier noted that the English Elms planted extensively in the Royal Park at Aranjuez from the late 16th century onwards, specimens said to have been introduced from England by Philip II and ""differing in no respects from the English Elm in England"", behaved as native trees in Spain and ""produced every year fertile seed in great abundance"". He suggested that the tree ""may be a true native of Spain, indigenous in the alluvial plains of the great rivers, now almost completely deforested"".
Richens believed that English Elm was a particular clone of the variable species Ulmus minor, referring to it as Ulmus minor var. vulgaris. A 2004 survey of genetic diversity in Spain, Italy and the UK confirmed that English Elms are indeed genetically identical, clones of a single tree, the Atinian Elm once widely used for training vines, and brought to the British Isles by Romans for the purpose of supporting and training vines. Thus, despite its name, the origin of the tree is widely believed to be Italy, although it is possible it hailed from what is now Turkey, where it is still used in the cultivation of raisins.
Dr Max Coleman of the Royal Botanic Garden, Edinburgh writes (2009): ""The advent of DNA fingerprinting has shed considerable light on the question. A number of studies have now shown that the distinctive forms that Melville elevated to species and Richens lumped together as field elm are single clones, all genetically identical, that have been propagated by vegetative means such as cuttings or root suckers. This means that enigmatic British elms such as ... English Elm have turned out to be single clones of field elm."" Since clones cannot pollinate identical clones, it follows that the fertile seed that Henry gathered from the English Elms at Aranjuez must have resulted from natural hybridisation with local elms, probably U. minor. At higher altitudes in Spain, he added, such as in Madrid and Toledo, the introduced English Elm did not set fertile seed.
Most current taxonomies, however, do not list English Elm under the heading ""Ulmus minor var."".",<UNKNOWN>
pittosporum crassifolium,"Pittosporum crassifolium, commonly called Karo, is a small tree or shrub native to New Zealand. Karo's original distribution was generally the top half of the North Island, although now it has naturalised throughout New Zealand and overseas in Norfolk Island and Hawaii. P. crassifolium occurs in lowland and coastal forests. Mature trees grow to about 5 metres (16 ft) in height. Other common names include stiffleaf cheesewood, and in Māori, kaikaro and kīhihi.
Karo has dense dark gray-green leathery leaves that are furry underneath. An early coloniser, P. crassifolium is able to withstand high winds and salt spray. Clusters of small red-purple flowers appear in spring, developing into seed pods that split to expose the sticky seeds.
P. crassifolium is considered to be ""weeds in cultivation"" in California. They are being kept under observation to ensure they do not escape into the wild. In New Zealand birds easily spread karo seed and in areas south of its natural range it has become a pest plant.",http://en.wikipedia.org/wiki/Pittosporum_crassifolium
pinus thunbergii,"Pinus thunbergii (Syn: Pinus thunbergiana; English: Japanese Black Pine, Japanese Pine, Black Pine; Korean: 곰솔 ; Chinese: 黑松 ; Japanese: Kuromatsu; Kanji: 黒松) is a pine native to coastal areas of Japan (Kyūshū, Shikoku and Honshū, but not Hokkaidō) and South Korea.",http://en.wikipedia.org/wiki/Pinus_thunbergii
eucalyptus forrestiana,"Eucalyptus forrestiana, commonly known as Fuchsia Gum, Forrest's Mallee or Forrest's Marlock, is a small tree which occurs in an area near Esperance in Western Australia. It was named after George Forrest (1873-1932).
It is a mallee Eucalyptus with smooth bark and grows to between 1.5 and to 6 metres in height. It has bright red buds and yellow flowers which appear between summer and winter.
Two closely related species, E. dolichorhyncha and E. stoatei, have been treated as subspecies in the past.",http://en.wikipedia.org/wiki/Eucalyptus_forrestiana
waterhousea floribunda,"Waterhousea floribunda is a rainforest tree of eastern Australia. It grows along streams from the Williams River (New South Wales) near Dungog (32° S) to Mackay (21° S) in central eastern Queensland. Known as the Weeping Lilli Pilli, this tree is widely planted as an ornamental. Planted trees from 1827 may be seen at the Royal Botanic Gardens, Sydney. However, these trees are damaged and threatened by the roosting grey headed flying foxes. A very large tree (diameter 110.5 cm) is located at Western Park in Auckland, New Zealand.",http://en.wikipedia.org/wiki/Waterhousea_floribunda
cupressus sempervirens,"Cupressus sempervirens, the Mediterranean Cypress (also known as Italian, Tuscan, or Graveyard Cypress, or Pencil Pine) is a species of cypress native to the eastern Mediterranean region, in northeast Libya, southern Albania, southeast Greece (Crete, Rhodes), southern Turkey, Cyprus, Northern Egypt, western Syria, Lebanon, Israel, Malta, Italy, western Jordan, and also a disjunct population in Iran. It is a medium-sized coniferous evergreen tree to 35 m (115 ft) tall, with a conic crown with level branches and variably loosely hanging branchlets. It is very long-lived, with some trees reported to be over 1,000 years old.
The foliage grows in dense sprays, dark green in colour. The leaves are scale-like, 2–5 mm long, and produced on rounded (not flattened) shoots. The seed cones are ovoid or oblong, 25–40 mm long, with 10-14 scales, green at first, maturing brown about 20–24 months after pollination. The male cones are 3–5 mm long, and release pollen in late winter. It is moderately susceptible to cypress canker, caused by the fungus Seiridium cardinale, and can suffer extensive dieback where this disease is common. The species name sempervirens comes from the Latin for 'evergreen'.

",http://en.wikipedia.org/wiki/Cupressus_sempervirens
pinus canariensis,"Pinus canariensis, the Canary Island pine, is a species in the genus Pinus, family Pinaceae, native and endemic to the outer Canary Islands (Gran Canaria, Tenerife, Hierro and La Palma) in the Atlantic Ocean. It is a subtropical pine and does not tolerate low temperatures or hard frost, surviving temperatures down to about −6 to −10 °C. Within its natural area, it grows under extremely variable rainfall regimes, from less than 300 mm to several thousands, mostly due to differences in mist-capturing by the foliage. Under warm conditions, this is one of the most drought-tolerant pines, living even with less than 200 mm per year.",http://en.wikipedia.org/wiki/Pinus_canariensis
chamaerops humilis,"Chamaerops is a genus of flowering plants in the family Arecaceae (palm family), comprising a single species Chamaerops humilis (European fan palm, Mediterranean dwarf palm or dwarf fan palm), representative of the Pre-Pliocene paleo-tropical ancestral lineages in the area.

",http://en.wikipedia.org/wiki/Chamaerops
picconia excelsa,"Picconia excelsa is a species of Picconia, endemic to Macaronesia, occurring on the Canary Islands (Spain) and Madeira (Portugal).",http://en.wikipedia.org/wiki/Picconia_excelsa
